iter	MultiClass
0	1.76897365
1	1.618652507
2	1.51671559
3	1.423492388
4	1.345391752
5	1.26386414
6	1.194374815
7	1.13237894
8	1.080415992
9	1.031012564
10	0.990490404
11	0.9527309283
12	0.9153747021
13	0.8812954923
14	0.8499023708
15	0.8118761153
16	0.7873599531
17	0.7634119033
18	0.7382573076
19	0.7160292446
20	0.6951337745
21	0.6733453739
22	0.6549654666
23	0.6373579583
24	0.6166055209
25	0.6026170441
26	0.5873560299
27	0.5731364999
28	0.5612859737
29	0.5489022666
30	0.5376085382
31	0.5251810012
32	0.5145311341
33	0.5051893605
34	0.4955455005
35	0.4812745922
36	0.4707774667
37	0.4626555189
38	0.4539018929
39	0.4466381681
40	0.4397045915
41	0.4247357588
42	0.4180863382
43	0.4115029271
44	0.4057587248
45	0.3975601604
46	0.3940851246
47	0.3909207937
48	0.3867766474
49	0.3824359357
50	0.3756967526
51	0.3699829385
52	0.363844587
53	0.3590988187
54	0.3546775612
55	0.351256761
56	0.3467167923
57	0.3401378717
58	0.3354991523
59	0.3319389892
60	0.3265318335
61	0.3238843742
62	0.3197559163
63	0.3147796562
64	0.3118105038
65	0.308099471
66	0.3038349736
67	0.3010158983
68	0.2977396279
69	0.2948239004
70	0.2920905019
71	0.2874882113
72	0.2843065731
73	0.280019341
74	0.2763427842
75	0.2729258943
76	0.2709098233
77	0.2684775253
78	0.2654840467
79	0.2633943304
80	0.258870522
81	0.2568026459
82	0.2550636302
83	0.2528002629
84	0.24896797
85	0.2439868335
86	0.2418816553
87	0.2405673552
88	0.2386043863
89	0.2362254504
90	0.2338586348
91	0.232109799
92	0.2311400546
93	0.2290009192
94	0.2280575405
95	0.224342095
96	0.221544569
97	0.2203649532
98	0.2183075156
99	0.217206554
100	0.215570034
101	0.2126355566
102	0.2094423419
103	0.2075677812
104	0.204738406
105	0.2028445366
106	0.2006783617
107	0.1992800915
108	0.1953572244
109	0.1935596606
110	0.1925251185
111	0.1911516633
112	0.1881916644
113	0.1861686296
114	0.1845111102
115	0.1830251099
116	0.1802842951
117	0.1781194172
118	0.1768198339
119	0.1746602973
120	0.1734783387
121	0.1714780547
122	0.1706567135
123	0.1694730927
124	0.1681788861
125	0.1674256582
126	0.1659232834
127	0.1625590719
128	0.1609856166
129	0.1589058684
130	0.1580710704
131	0.1568911256
132	0.1546041095
133	0.1538351683
134	0.1527926422
135	0.1520219359
136	0.1508190613
137	0.1501053819
138	0.1493524888
139	0.1482054429
140	0.1466241356
141	0.1458351541
142	0.1444536486
143	0.1439966955
144	0.1432072169
145	0.1421613007
146	0.1411814014
147	0.1403084467
148	0.1394168101
149	0.1373878777
150	0.1353237282
151	0.1347350934
152	0.1336999421
153	0.1330707648
154	0.1321549561
155	0.1312446923
156	0.1308042895
157	0.1301061961
158	0.1294154671
159	0.1289698232
160	0.1281914644
161	0.1271978871
162	0.126024629
163	0.1254160093
164	0.1247610562
165	0.1240574008
166	0.1225601883
167	0.1220748355
168	0.1211075147
169	0.1199797277
170	0.1194177685
171	0.1184419607
172	0.1180855122
173	0.1175474018
174	0.1169735775
175	0.1164264016
176	0.1157450132
177	0.1148243079
178	0.1143549545
179	0.1136704619
180	0.1126059676
181	0.1119080468
182	0.1111688067
183	0.1103879337
184	0.1099290725
185	0.1092325568
186	0.1080240371
187	0.1075028336
188	0.106841034
189	0.1060514038
190	0.1055498993
191	0.1049149719
192	0.1040363573
193	0.1030072607
194	0.1023132493
195	0.1019144711
196	0.101280149
197	0.1008922789
198	0.1003677154
199	0.09985657713
200	0.09937792002
201	0.09900701494
202	0.09870567095
203	0.09822627112
204	0.09772804884
205	0.0975896961
206	0.09710819733
207	0.09657283178
208	0.09624430053
209	0.09595513454
210	0.09558508726
211	0.09518607997
212	0.09459455693
213	0.09411654691
214	0.09292641434
215	0.0924511608
216	0.09212122089
217	0.09179935763
218	0.09150442351
219	0.09082093011
220	0.09039282355
221	0.09002743822
222	0.08969134711
223	0.08940100218
224	0.08898981591
225	0.08849847638
226	0.08782046788
227	0.08701040807
228	0.08660737768
229	0.08610568959
230	0.08560474036
231	0.0851729704
232	0.08491502278
233	0.0847917582
234	0.08447363693
235	0.08382430606
236	0.08334798238
237	0.0829281176
238	0.08260756758
239	0.08221615332
240	0.08191252615
241	0.0816402767
242	0.08144618128
243	0.08069822632
244	0.08040218156
245	0.07977793871
246	0.07956673671
247	0.07932320929
248	0.07904738011
249	0.07882941101
250	0.07847733009
251	0.07810500383
252	0.07781909466
253	0.07749787892
254	0.07719499117
255	0.07695116204
256	0.07628112735
257	0.07600538231
258	0.07547088944
259	0.07524640708
260	0.07496640275
261	0.07447466158
262	0.07427084975
263	0.07396853723
264	0.07365761101
265	0.07343335761
266	0.07313365928
267	0.07280275016
268	0.07250457749
269	0.07225591991
270	0.072007076
271	0.07180375604
272	0.07150607267
273	0.0711013423
274	0.07090457071
275	0.07076175071
276	0.07057741382
277	0.07039994169
278	0.06983755976
279	0.06955718957
280	0.06944485597
281	0.0691265891
282	0.06880328094
283	0.0686143682
284	0.06842642843
285	0.06828027108
286	0.06800731584
287	0.06746150336
288	0.0670112865
289	0.06680889294
290	0.06646403518
291	0.06629206739
292	0.0660293453
293	0.06564274668
294	0.06539172086
295	0.06505498364
296	0.06460390856
297	0.06428549795
298	0.06407527972
299	0.0637920838
300	0.06347440927
301	0.06308544867
302	0.06280611581
303	0.06248820877
304	0.06237649304
305	0.06215825008
306	0.06194601325
307	0.06170515128
308	0.06151806122
309	0.06136518405
310	0.06119024203
311	0.061062551
312	0.06082389669
313	0.06051524395
314	0.06019396687
315	0.06003697692
316	0.05972052149
317	0.05947880439
318	0.05923079496
319	0.05905254156
320	0.05884077116
321	0.05862033668
322	0.05850668667
323	0.0582209369
324	0.0581247056
325	0.05794164669
326	0.05779725635
327	0.0576071183
328	0.05737589304
329	0.05722327615
330	0.05696908402
331	0.05674753397
332	0.0566539211
333	0.05656124188
334	0.05635478063
335	0.05617466872
336	0.05600229695
337	0.05558635705
338	0.05537990245
339	0.05512212012
340	0.05495637977
341	0.05451610457
342	0.05434357825
343	0.05419199598
344	0.05399784936
